City,"Meal Inexpensive Restaurant","Meal for 2 People Mid-range Restaurant Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (1 pint draught),Imported Beer (12 oz small bottle),Cappuccino (regular),Coke/Pepsi (12 oz small bottle),Water (12 oz small bottle),Markets,"Milk (regular) (1 gallon)",Loaf of Fresh White Bread (1 lb),"Rice (white) (1 lb)",Eggs (regular) (12),Local Cheese (1 lb),Chicken Fillets (1 lb),Beef Round (1 lb) (or Equivalent Back Leg Red Meat),Apples (1 lb),Banana (1 lb),Oranges (1 lb),Tomato (1 lb),Potato (1 lb),Onion (1 lb),Lettuce (1 head),Water (1.5 liter bottle),Bottle of Wine (Mid-Range),Domestic Beer (0.5 liter bottle),Imported Beer (12 oz small bottle),Cigarettes 20 Pack (Marlboro),Transportation,One-way Ticket (Local Transport),Monthly Pass (Regular Price),Taxi Start (Normal Tariff),Taxi 1 mile (Normal Tariff),Taxi 1hour Waiting (Normal Tariff),Gasoline (1 gallon),Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),Utilities (Monthly),"Basic (Electricity Heating Cooling Water Garbage) for 915 sq ft Apartment",1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",Sports And Leisure,"Fitness Club Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema International Release 1 Seat",Childcare,"Preschool (or Kindergarten) Full Day Private Monthly for 1 Child","International Primary School Yearly for 1 Child",Clothing And Shoes 1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara H&M ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Rent Per Month,Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Buy Apartment Price,Price per Square Feet to Buy Apartment in City Centre,Price per Square Feet to Buy Apartment Outside of Centre,Salaries And Financing,Average Monthly Net Salary (After Tax),"Mortgage Interest Rate in Percentages (%) Yearly for 20 Years Fixed-Rate",Country
Milan,15.00 €,70.00 €,8.00 €,5.00 €,5.00 €,1.66 €,2.60 €,1.33 €,Edit,4.65 €,1.55 €,1.05 €,2.93 €,5.98 €,4.43 €,7.76 €,0.90 €,0.88 €,0.98 €,1.11 €,0.67 €,0.62 €,1.00 €,0.50 €,6.00 €,1.46 €,2.27 €,5.80 €,Edit,2.00 €,39.00 €,6.00 €,2.41 €,30.00 €,5.77 €,"23,900.00 €","24,620.59 €",Edit,155.27 €,0.17 €,27.91 €,Edit,58.81 €,27.50 €,10.00 €,Edit,634.00 €,"14,208.33 €",Edit,80.20 €,32.60 €,84.50 €,125.21 €,Edit,"1,123.66 €",741.84 €,"2,594.05 €","1,552.63 €",Edit,765.50 €,343.46 €,Edit,"1,632.20 €",1.75,Italy
Sofia,6.14 €,30.71 €,5.12 €,1.48 €,1.54 €,1.34 €,0.92 €,0.62 €,Edit,4.06 €,0.56 €,0.58 €,1.65 €,2.64 €,2.30 €,3.63 €,0.56 €,0.61 €,0.58 €,0.68 €,0.28 €,0.27 €,0.61 €,0.50 €,5.12 €,0.68 €,1.26 €,3.07 €,Edit,0.82 €,25.59 €,0.51 €,0.66 €,6.76 €,3.69 €,"20,472.17 €","20,115.77 €",Edit,103.60 €,0.16 €,10.52 €,Edit,23.80 €,14.22 €,6.14 €,Edit,365.69 €,"5,176.70 €",Edit,50.59 €,29.12 €,69.98 €,69.37 €,Edit,369.32 €,278.80 €,678.23 €,486.98 €,Edit,155.65 €,101.20 €,Edit,751.34 €,3.42,Bulgaria
Adelaide,10.91 €,51.36 €,7.70 €,5.14 €,5.78 €,2.78 €,2.18 €,1.77 €,Edit,3.60 €,1.68 €,0.76 €,3.03 €,3.11 €,3.01 €,5.22 €,1.26 €,0.99 €,0.99 €,1.29 €,0.86 €,0.69 €,1.93 €,1.34 €,11.56 €,3.56 €,3.84 €,26.32 €,Edit,2.57 €,64.84 €,2.89 €,2.07 €,25.23 €,3.46 €,"17,848.04 €","16,371.71 €",Edit,157.61 €,0.32 €,44.73 €,Edit,38.69 €,5.00 €,9.63 €,Edit,747.65 €,"14,419.86 €",Edit,62.28 €,43.72 €,80.62 €,85.66 €,Edit,913.93 €,676.04 €,"1,614.99 €","1,100.64 €",Edit,277.71 €,173.70 €,Edit,"2,892.72 €",3.43,Australia
Samsun,3.11 €,11.04 €,2.61 €,2.01 €,2.21 €,1.41 €,0.51 €,0.19 €,Edit,2.54 €,0.31 €,0.64 €,1.31 €,2.12 €,0.92 €,3.03 €,0.26 €,0.72 €,0.41 €,0.25 €,0.15 €,0.25 €,0.38 €,0.23 €,5.02 €,1.33 €,1.63 €,1.81 €,Edit,0.40 €,16.06 €,0.50 €,0.65 €,3.01 €,2.71 €,"21,078.80 €","17,126.52 €",Edit,45.89 €,0.09 €,19.29 €,Edit,15.06 €,8.70 €,2.01 €,Edit,117.94 €,"2,258.44 €",Edit,23.09 €,18.67 €,39.31 €,37.28 €,Edit,110.41 €,91.59 €,149.13 €,117.58 €,Edit,29.53 €,25.64 €,Edit,290.45 €,16.25,Turkey
Rajkot,1.68 €,8.42 €,2.25 €,2.81 €,3.93 €,1.23 €,0.27 €,0.16 €,Edit,2.30 €,0.46 €,0.28 €,0.87 €,1.40 €,1.48 €,1.09 €,0.67 €,0.32 €,0.30 €,0.20 €,0.15 €,0.17 €,0.43 €,0.32 €,8.98 €,1.57 €,3.37 €,2.69 €,Edit,0.20 €,5.61 €,1.12 €,0.45 €,0.62 €,3.05 €,"8,982.46 €","17,613.64 €",Edit,38.79 €,0.01 €,6.45 €,Edit,15.88 €,5.45 €,2.81 €,Edit,50.29 €,"1,291.23 €",Edit,30.00 €,25.26 €,32.08 €,23.26 €,Edit,104.26 €,72.98 €,237.39 €,151.58 €,Edit,90.37 €,48.00 €,Edit,308.77 €,10.78,India
Cordoba,3.61 €,20.00 €,4.90 €,1.23 €,?,?,0.56 €,0.56 €,Edit,1.89 €,0.30 €,0.28 €,0.98 €,3.00 €,?,?,?,?,?,?,?,?,?,0.81 €,4.04 €,1.51 €,2.52 €,2.05 €,Edit,0.47 €,?,1.01 €,?,?,2.87 €,"22,148.35 €","18,819.86 €",Edit,50.49 €,?,20.20 €,Edit,?,?,?,Edit,140.61 €,"2,019.78 €",Edit,55.00 €,?,?,65.00 €,Edit,180.37 €,?,504.94 €,807.91 €,Edit,83.30 €,66.64 €,Edit,699.83 €,47.50,Argentina
Prague,5.80 €,30.94 €,5.80 €,1.62 €,1.93 €,2.22 €,1.37 €,1.12 €,Edit,3.01 €,0.92 €,0.66 €,1.78 €,3.89 €,2.61 €,4.29 €,0.69 €,0.59 €,0.75 €,0.97 €,0.39 €,0.37 €,1.05 €,0.55 €,4.64 €,0.68 €,1.45 €,4.25 €,Edit,0.93 €,21.27 €,1.55 €,1.77 €,13.92 €,4.31 €,"19,334.54 €","19,962.36 €",Edit,195.28 €,0.14 €,19.72 €,Edit,35.66 €,12.11 €,7.73 €,Edit,584.19 €,"10,046.31 €",Edit,70.86 €,35.58 €,78.47 €,91.94 €,Edit,703.05 €,545.31 €,"1,211.24 €",872.33 €,Edit,486.10 €,333.88 €,Edit,"1,246.27 €",2.48,Czech Republic
Montevideo,8.26 €,28.92 €,6.59 €,2.45 €,2.82 €,2.18 €,1.20 €,0.97 €,Edit,2.51 €,1.52 €,0.41 €,2.04 €,3.19 €,2.74 €,3.11 €,0.71 €,0.75 €,0.41 €,0.68 €,0.51 €,0.54 €,0.71 €,0.93 €,4.71 €,1.34 €,1.61 €,3.11 €,Edit,0.75 €,32.00 €,0.89 €,1.10 €,7.44 €,3.98 €,"25,606.08 €","26,367.99 €",Edit,101.85 €,0.19 €,26.23 €,Edit,33.30 €,15.41 €,6.40 €,Edit,211.09 €,"4,583.21 €",Edit,61.38 €,31.33 €,70.49 €,70.59 €,Edit,367.19 €,286.30 €,638.12 €,536.25 €,Edit,182.32 €,162.88 €,Edit,534.19 €,7.56,Uruguay
Doha,6.85 €,45.70 €,5.71 €,10.28 €,10.28 €,4.01 €,0.68 €,0.29 €,Edit,6.13 €,1.06 €,0.69 €,2.51 €,3.62 €,2.61 €,3.91 €,0.70 €,0.57 €,0.62 €,0.50 €,0.40 €,0.37 €,1.33 €,0.47 €,20.56 €,7.14 €,7.98 €,5.48 €,Edit,0.63 €,34.27 €,2.28 €,0.74 €,6.85 €,1.36 €,"16,451.63 €","15,836.46 €",Edit,90.20 €,0.16 €,72.87 €,Edit,89.47 €,23.53 €,8.00 €,Edit,617.52 €,"8,497.65 €",Edit,53.61 €,46.69 €,77.40 €,78.92 €,Edit,"1,216.87 €",830.20 €,"2,441.42 €","1,588.84 €",Edit,346.77 €,256.29 €,Edit,"2,363.46 €",4.62,Qatar
Meerut,3.09 €,9.54 €,4.21 €,1.35 €,2.25 €,1.16 €,0.35 €,0.18 €,Edit,2.22 €,0.31 €,0.34 €,0.67 €,1.67 €,0.95 €,1.29 €,0.54 €,0.32 €,0.30 €,0.29 €,0.10 €,0.17 €,?,0.32 €,10.11 €,1.27 €,1.95 €,3.82 €,Edit,0.17 €,10.59 €,0.56 €,0.36 €,1.35 €,3.19 €,"10,105.27 €","15,677.72 €",Edit,26.93 €,0.01 €,6.73 €,Edit,8.98 €,4.49 €,2.81 €,Edit,33.68 €,"1,104.09 €",Edit,22.91 €,27.70 €,34.81 €,17.68 €,Edit,44.91 €,34.81 €,106.67 €,67.37 €,Edit,63.87 €,65.19 €,Edit,240.00 €,9.92,India
Jabalpur,1.52 €,5.05 €,2.81 €,2.36 €,3.37 €,1.24 €,0.36 €,0.11 €,Edit,2.34 €,0.48 €,0.27 €,0.76 €,1.70 €,1.27 €,1.66 €,0.55 €,0.24 €,0.32 €,0.18 €,0.13 €,0.15 €,0.32 €,0.35 €,6.74 €,2.17 €,1.46 €,3.37 €,Edit,0.22 €,5.61 €,0.67 €,0.20 €,1.12 €,3.61 €,"15,157.90 €","20,718.61 €",Edit,52.40 €,0.01 €,7.86 €,Edit,18.65 €,4.87 €,2.53 €,Edit,35.79 €,"1,684.21 €",Edit,26.67 €,33.68 €,33.12 €,27.40 €,Edit,85.33 €,49.40 €,195.37 €,103.86 €,Edit,172.49 €,125.36 €,Edit,477.19 €,7.75,India
Thane,3.37 €,11.23 €,3.37 €,2.25 €,4.49 €,1.52 €,0.41 €,0.15 €,Edit,2.26 €,0.31 €,0.28 €,0.71 €,1.59 €,1.53 €,2.82 €,0.94 €,0.23 €,0.49 €,0.23 €,0.17 €,0.19 €,0.55 €,0.26 €,6.18 €,1.65 €,3.14 €,3.37 €,Edit,0.22 €,3.93 €,0.25 €,0.40 €,1.12 €,3.43 €,"10,105.27 €","17,724.32 €",Edit,39.56 €,0.01 €,8.39 €,Edit,19.85 €,7.06 €,2.81 €,Edit,64.92 €,"1,646.78 €",Edit,26.42 €,30.41 €,42.11 €,28.74 €,Edit,227.86 €,149.42 €,430.41 €,273.08 €,Edit,186.19 €,129.14 €,Edit,538.01 €,8.48,India
Nizhniy-Novgorod,500.00 руб,"2,450.00 руб",225.00 руб,70.00 руб,200.00 руб,146.92 руб,52.08 руб,34.77 руб,Edit,221.43 руб,30.84 руб,29.88 руб,76.95 руб,236.70 руб,106.14 руб,220.53 руб,45.86 руб,30.77 руб,42.96 руб,52.42 руб,12.93 руб,14.15 руб,70.00 руб,40.12 руб,400.00 руб,58.24 руб,120.77 руб,175.00 руб,Edit,30.00 руб,"1,600.00 руб",90.00 руб,20.92 руб,300.00 руб,172.29 руб,"1,429,000.00 руб","1,555,076.92 руб",Edit,"8,126.33 руб",1.83 руб,486.36 руб,Edit,"2,465.15 руб","1,014.29 руб",350.00 руб,Edit,"25,777.78 руб","283,249.95 руб",Edit,"5,909.52 руб","2,888.24 руб","5,242.86 руб","7,529.41 руб",Edit,"25,578.95 руб","15,900.00 руб","48,333.33 руб","29,230.77 руб",Edit,"8,712.43 руб","6,158.88 руб",Edit,"32,965.27 руб",10.28,Russia
Kazan,4.42 €,22.10 €,2.87 €,1.66 €,1.33 €,1.32 €,0.53 €,0.25 €,Edit,2.39 €,0.36 €,0.33 €,0.87 €,2.72 €,1.21 €,2.27 €,0.48 €,0.34 €,0.41 €,0.59 €,0.15 €,0.15 €,0.71 €,0.37 €,5.14 €,0.63 €,1.24 €,1.66 €,Edit,0.33 €,19.89 €,0.77 €,0.23 €,2.65 €,1.85 €,"15,790.07 €","14,962.72 €",Edit,69.51 €,0.02 €,4.38 €,Edit,21.35 €,6.30 €,2.98 €,Edit,173.48 €,"7,955.81 €",Edit,38.67 €,28.47 €,54.27 €,64.67 €,Edit,265.95 €,184.69 €,457.29 €,302.03 €,Edit,124.40 €,83.08 €,Edit,391.53 €,9.08,Russia
Calgary,12.59 €,50.76 €,7.45 €,4.74 €,5.08 €,2.89 €,1.43 €,1.21 €,Edit,5.55 €,1.52 €,0.92 €,2.47 €,3.88 €,4.20 €,4.60 €,1.27 €,0.58 €,1.17 €,1.36 €,0.82 €,0.77 €,1.73 €,1.38 €,10.15 €,2.45 €,2.36 €,11.84 €,Edit,2.37 €,73.77 €,2.57 €,2.18 €,21.66 €,2.73 €,"17,994.48 €","16,035.99 €",Edit,140.43 €,0.18 €,55.53 €,Edit,44.61 €,15.19 €,10.15 €,Edit,845.27 €,"10,402.32 €",Edit,39.74 €,36.25 €,62.55 €,84.60 €,Edit,836.85 €,707.68 €,"1,515.21 €","1,153.77 €",Edit,247.47 €,182.54 €,Edit,"3,285.01 €",2.50,Canada
Abuja,2.43 €,20.25 €,3.83 €,0.69 €,1.01 €,1.39 €,0.46 €,0.37 €,Edit,4.63 €,0.79 €,0.84 €,1.26 €,2.33 €,2.53 €,2.60 €,1.49 €,0.55 €,1.04 €,0.99 €,0.98 €,0.37 €,0.41 €,0.28 €,4.05 €,0.78 €,1.22 €,1.01 €,Edit,0.20 €,30.38 €,1.01 €,0.61 €,4.05 €,1.20 €,"8,100.93 €","21,602.49 €",Edit,41.85 €,0.05 €,28.76 €,Edit,37.47 €,4.05 €,5.57 €,Edit,169.61 €,"1,569.56 €",Edit,35.10 €,33.42 €,64.30 €,108.86 €,Edit,"1,475.53 €",565.62 €,"4,185.48 €","1,634.65 €",Edit,?,?,Edit,131.64 €,16.50,Nigeria
Sevilla,9.00 €,30.00 €,7.00 €,2.00 €,2.00 €,1.48 €,1.36 €,1.05 €,Edit,3.00 €,0.83 €,0.47 €,2.31 €,5.11 €,2.79 €,5.65 €,0.95 €,0.81 €,0.60 €,0.76 €,0.40 €,0.52 €,1.04 €,0.58 €,5.00 €,0.65 €,1.48 €,5.25 €,Edit,1.40 €,35.00 €,2.50 €,1.51 €,20.71 €,4.64 €,"22,197.50 €","19,750.00 €",Edit,120.05 €,0.14 €,35.38 €,Edit,32.78 €,7.33 €,7.00 €,Edit,321.43 €,"6,800.00 €",Edit,67.86 €,28.57 €,57.86 €,65.71 €,Edit,662.50 €,487.50 €,"1,058.33 €",690.91 €,Edit,255.48 €,153.29 €,Edit,"1,270.92 €",2.54,Spain
Varanasi,1.85 €,7.86 €,3.37 €,1.12 €,4.49 €,1.52 €,0.31 €,0.13 €,Edit,2.09 €,0.28 €,0.23 €,0.80 €,1.72 €,1.10 €,2.05 €,0.57 €,0.26 €,0.27 €,0.17 €,0.13 €,0.19 €,0.56 €,0.30 €,6.18 €,1.18 €,2.25 €,4.04 €,Edit,0.25 €,8.42 €,0.56 €,0.25 €,1.12 €,3.24 €,"9,263.16 €","17,069.48 €",Edit,42.61 €,0.01 €,7.24 €,Edit,18.39 €,3.93 €,3.37 €,Edit,30.88 €,"1,684.21 €",Edit,24.22 €,26.20 €,32.28 €,30.48 €,Edit,86.88 €,71.38 €,189.47 €,137.94 €,Edit,59.11 €,33.70 €,Edit,329.62 €,8.00,India
Tunis,2.13 €,14.44 €,3.04 €,1.52 €,1.82 €,0.66 €,0.53 €,0.23 €,Edit,1.41 €,0.11 €,0.28 €,0.90 €,3.46 €,1.63 €,3.94 €,0.62 €,0.68 €,0.30 €,0.21 €,0.21 €,0.20 €,0.30 €,0.22 €,4.71 €,0.79 €,0.86 €,2.28 €,Edit,0.17 €,13.68 €,0.17 €,0.49 €,6.08 €,2.36 €,"23,698.80 €","21,843.44 €",Edit,40.26 €,0.07 €,14.84 €,Edit,23.83 €,8.29 €,3.65 €,Edit,84.90 €,"1,919.30 €",Edit,40.96 €,42.97 €,73.48 €,57.49 €,Edit,184.42 €,131.92 €,327.61 €,223.88 €,Edit,67.76 €,53.76 €,Edit,261.78 €,10.42,Tunisia
Chelyabinsk,3.87 €,16.57 €,2.49 €,0.76 €,3.04 €,1.18 €,0.58 €,0.34 €,Edit,2.48 €,0.35 €,0.38 €,0.85 €,2.42 €,1.15 €,2.02 €,0.50 €,0.37 €,0.42 €,0.70 €,0.13 €,0.16 €,0.67 €,0.41 €,4.97 €,0.73 €,1.35 €,1.66 €,Edit,0.28 €,12.71 €,0.99 €,0.18 €,2.65 €,1.83 €,"15,800.57 €","16,962.13 €",Edit,73.17 €,0.02 €,5.04 €,Edit,28.33 €,13.38 €,3.31 €,Edit,161.80 €,"2,342.54 €",Edit,35.12 €,28.27 €,49.72 €,58.97 €,Edit,184.16 €,121.09 €,330.26 €,230.82 €,Edit,52.51 €,38.72 €,Edit,335.14 €,10.88,Russia
Mombasa,2.70 €,38.59 €,3.86 €,2.32 €,2.51 €,1.99 €,0.52 €,0.57 €,Edit,2.53 €,0.36 €,0.34 €,1.70 €,4.20 €,2.89 €,2.45 €,0.65 €,0.41 €,0.64 €,0.31 €,0.34 €,0.30 €,0.72 €,0.39 €,4.63 €,1.47 €,1.54 €,1.93 €,Edit,0.54 €,38.59 €,1.35 €,2.48 €,0.77 €,3.25 €,?,?,Edit,25.73 €,0.03 €,38.59 €,Edit,24.44 €,?,4.63 €,Edit,166.39 €,"1,697.86 €",Edit,23.15 €,30.87 €,46.31 €,31.64 €,Edit,156.28 €,125.41 €,308.70 €,324.14 €,Edit,383.58 €,?,Edit,360.15 €,?,Kenya
Providence,11.65 €,56.16 €,7.90 €,3.33 €,4.99 €,3.01 €,1.56 €,1.33 €,Edit,2.89 €,1.94 €,2.18 €,2.01 €,3.68 €,2.55 €,6.01 €,2.02 €,0.58 €,1.94 €,2.77 €,1.61 €,1.19 €,2.29 €,2.50 €,10.82 €,1.69 €,1.37 €,9.15 €,Edit,1.66 €,58.24 €,2.91 €,2.91 €,24.96 €,1.96 €,"21,137.77 €","17,295.96 €",Edit,171.21 €,0.06 €,71.03 €,Edit,24.96 €,6.45 €,10.50 €,Edit,953.28 €,"9,595.16 €",Edit,35.89 €,26.15 €,67.91 €,84.98 €,Edit,"1,488.88 €","1,440.73 €","1,613.15 €","1,384.73 €",Edit,264.77 €,119.48 €,Edit,"2,631.46 €",4.50,United States
Maputo,7.23 €,35.43 €,5.06 €,1.05 €,1.52 €,1.80 €,0.65 €,0.56 €,Edit,4.64 €,0.68 €,0.52 €,1.69 €,4.59 €,2.27 €,3.23 €,0.97 €,0.31 €,0.43 €,0.43 €,0.42 €,0.35 €,0.92 €,0.69 €,8.68 €,0.84 €,1.01 €,2.39 €,Edit,0.22 €,14.13 €,3.62 €,3.49 €,7.95 €,3.68 €,"19,710.45 €","21,693.61 €",Edit,87.68 €,0.07 €,76.65 €,Edit,39.60 €,16.27 €,5.78 €,Edit,136.59 €,"6,800.95 €",Edit,31.82 €,41.58 €,71.67 €,95.81 €,Edit,751.28 €,346.22 €,"1,256.86 €",520.69 €,Edit,139.40 €,85.09 €,Edit,273.18 €,26.00,Mozambique
Rosario,6.24 €,24.79 €,5.82 €,0.79 €,1.23 €,1.16 €,0.97 €,0.64 €,Edit,2.46 €,0.73 €,0.33 €,1.05 €,2.19 €,1.04 €,2.15 €,0.75 €,0.53 €,0.48 €,0.44 €,0.27 €,0.26 €,0.42 €,0.70 €,2.41 €,0.81 €,1.35 €,1.66 €,Edit,0.42 €,?,0.64 €,0.73 €,3.79 €,2.90 €,"21,630.70 €","19,134.85 €",Edit,28.22 €,0.11 €,22.09 €,Edit,20.97 €,12.53 €,4.16 €,Edit,83.19 €,"2,995.02 €",Edit,37.71 €,20.80 €,80.18 €,66.56 €,Edit,108.44 €,76.59 €,248.89 €,121.74 €,Edit,121.73 €,79.87 €,Edit,426.37 €,33.75,Argentina
Dublin,15.00 €,66.50 €,9.00 €,5.50 €,6.00 €,3.37 €,1.84 €,1.48 €,Edit,3.99 €,1.31 €,0.65 €,3.16 €,4.00 €,3.52 €,4.59 €,1.02 €,0.84 €,1.03 €,1.28 €,0.66 €,0.52 €,0.92 €,1.46 €,11.00 €,2.49 €,2.81 €,14.00 €,Edit,3.00 €,130.00 €,4.00 €,2.41 €,26.75 €,5.08 €,"25,000.00 €","26,049.14 €",Edit,156.77 €,0.27 €,51.30 €,Edit,39.33 €,15.77 €,12.00 €,Edit,"1,048.91 €","9,139.13 €",Edit,79.80 €,34.44 €,86.26 €,89.64 €,Edit,"1,672.10 €","1,374.46 €","3,021.67 €","2,300.52 €",Edit,511.48 €,368.44 €,Edit,"2,754.21 €",3.38,Ireland
Jacksonville,14.56 €,41.60 €,6.66 €,3.74 €,4.99 €,4.00 €,1.49 €,1.19 €,Edit,2.78 €,2.20 €,1.49 €,1.89 €,3.67 €,3.33 €,3.99 €,2.08 €,0.55 €,2.34 €,1.86 €,1.47 €,0.94 €,1.38 €,1.38 €,8.32 €,2.13 €,2.68 €,5.62 €,Edit,1.25 €,41.60 €,1.77 €,1.79 €,14.56 €,1.88 €,"18,510.89 €","16,092.30 €",Edit,122.03 €,0.06 €,58.80 €,Edit,24.37 €,9.15 €,9.57 €,Edit,642.68 €,"14,254.08 €",Edit,34.42 €,27.45 €,59.95 €,72.79 €,Edit,990.12 €,854.62 €,"1,445.56 €","1,156.23 €",Edit,241.01 €,82.21 €,Edit,"3,070.33 €",3.98,United States
Medina,4.44 €,22.18 €,5.55 €,1.11 €,1.11 €,2.33 €,0.54 €,0.18 €,Edit,4.53 €,0.62 €,0.91 €,4.14 €,2.28 €,1.91 €,4.02 €,0.74 €,0.84 €,0.77 €,0.80 €,0.78 €,0.78 €,1.77 €,0.50 €,2.22 €,1.77 €,1.70 €,5.88 €,Edit,0.67 €,61.00 €,2.22 €,3.57 €,6.65 €,1.26 €,"14,418.46 €","16,137.59 €",Edit,84.34 €,0.09 €,64.33 €,Edit,52.04 €,30.50 €,14.97 €,Edit,326.57 €,"2,634.14 €",Edit,40.67 €,47.14 €,84.29 €,99.82 €,Edit,503.87 €,280.98 €,554.56 €,374.58 €,Edit,61.40 €,30.91 €,Edit,"1,501.00 €",4.00,Saudi Arabia
Srinagar,1.96 €,11.23 €,5.05 €,1.12 €,4.49 €,1.40 €,0.38 €,0.18 €,Edit,1.88 €,0.39 €,0.19 €,0.77 €,1.20 €,1.04 €,1.58 €,0.36 €,0.38 €,0.42 €,0.19 €,0.14 €,0.17 €,0.32 €,0.30 €,4.21 €,1.03 €,1.96 €,3.54 €,Edit,0.20 €,5.05 €,0.61 €,0.45 €,1.12 €,3.64 €,"9,543.87 €","16,619.42 €",Edit,26.10 €,0.01 €,10.11 €,Edit,11.23 €,3.37 €,3.37 €,Edit,26.67 €,954.39 €,Edit,28.07 €,23.02 €,33.68 €,32.28 €,Edit,151.58 €,111.16 €,267.23 €,150.64 €,Edit,514.67 €,99.10 €,Edit,374.27 €,9.83,India
Omsk,4.42 €,17.68 €,2.49 €,0.96 €,2.21 €,1.23 €,0.45 €,0.27 €,Edit,2.25 €,0.33 €,0.32 €,0.85 €,2.62 €,1.39 €,2.56 €,0.55 €,0.36 €,0.45 €,0.69 €,0.18 €,0.17 €,0.52 €,0.37 €,4.97 €,0.62 €,1.13 €,1.66 €,Edit,0.33 €,19.89 €,0.77 €,0.18 €,3.31 €,1.86 €,"15,082.34 €","14,515.67 €",Edit,83.23 €,0.02 €,5.92 €,Edit,11.60 €,7.55 €,2.27 €,Edit,127.07 €,"1,988.95 €",Edit,60.77 €,33.15 €,50.12 €,63.35 €,Edit,182.32 €,121.55 €,381.22 €,217.31 €,Edit,61.59 €,37.60 €,Edit,297.00 €,10.05,Russia
Samara,6.08 €,27.62 €,2.65 €,0.83 €,2.21 €,1.55 €,0.52 €,0.26 €,Edit,2.80 €,0.38 €,0.35 €,0.95 €,3.18 €,1.26 €,2.04 €,0.47 €,0.36 €,0.42 €,0.75 €,0.18 €,0.16 €,0.57 €,0.36 €,4.42 €,0.61 €,1.17 €,1.44 €,Edit,0.35 €,19.89 €,0.99 €,0.34 €,3.31 €,1.89 €,"15,469.63 €","16,071.84 €",Edit,78.01 €,0.02 €,5.52 €,Edit,21.33 €,10.64 €,3.31 €,Edit,128.73 €,"4,051.57 €",Edit,61.94 €,38.54 €,62.25 €,71.03 €,Edit,236.19 €,157.64 €,495.03 €,295.03 €,Edit,79.91 €,52.24 €,Edit,317.48 €,10.39,Russia
Ulsan,5.21 €,33.49 €,5.21 €,3.35 €,5.21 €,3.07 €,1.43 €,0.82 €,Edit,6.48 €,2.59 €,1.01 €,2.51 €,11.48 €,2.48 €,14.85 €,2.03 €,1.69 €,2.36 €,1.86 €,1.74 €,1.07 €,2.05 €,0.97 €,10.42 €,1.81 €,2.36 €,3.35 €,Edit,0.97 €,55.01 €,2.27 €,0.84 €,4.47 €,4.51 €,"21,361.44 €","20,576.58 €",Edit,57.51 €,0.09 €,40.94 €,Edit,69.47 €,3.72 €,8.19 €,Edit,334.94 €,"11,425.02 €",Edit,27.91 €,30.27 €,55.82 €,59.54 €,Edit,390.76 €,272.91 €,558.23 €,409.37 €,Edit,"1,265.39 €","1,071.78 €",Edit,"2,125.39 €",5.00,South Korea
Campinas,3.98 €,16.83 €,4.59 €,1.19 €,2.68 €,1.24 €,0.78 €,0.49 €,Edit,2.13 €,0.89 €,0.41 €,1.27 €,2.52 €,0.99 €,2.33 €,0.59 €,0.37 €,0.30 €,0.42 €,0.34 €,0.35 €,0.51 €,0.44 €,5.35 €,0.78 €,2.08 €,1.53 €,Edit,0.76 €,32.14 €,0.84 €,0.81 €,6.58 €,2.62 €,"15,142.73 €","16,877.86 €",Edit,48.97 €,0.27 €,18.77 €,Edit,19.08 €,17.59 €,4.59 €,Edit,181.96 €,"5,150.07 €",Edit,31.63 €,28.56 €,50.74 €,36.54 €,Edit,179.74 €,130.45 €,370.96 €,269.95 €,Edit,87.97 €,57.94 €,Edit,365.20 €,8.41,Brazil
Dakar,4.19 €,33.54 €,7.62 €,0.96 €,3.05 €,2.44 €,0.83 €,0.55 €,Edit,6.50 €,0.26 €,0.35 €,1.75 €,4.75 €,3.97 €,3.59 €,0.85 €,0.61 €,0.67 €,0.48 €,0.46 €,0.40 €,0.71 €,0.70 €,9.53 €,0.76 €,2.08 €,1.18 €,Edit,0.30 €,22.87 €,2.29 €,2.45 €,6.86 €,3.94 €,"26,678.57 €","24,900.00 €",Edit,176.12 €,0.16 €,57.69 €,Edit,40.25 €,7.62 €,7.62 €,Edit,153.08 €,"3,353.88 €",Edit,45.91 €,24.39 €,64.43 €,61.74 €,Edit,583.30 €,309.47 €,"1,281.52 €",800.36 €,Edit,950.91 €,903.49 €,Edit,386.52 €,9.00,Senegal
