City,"Meal, Inexpensive Restaurant","Meal for 2 People, Mid range Restaurant, Three course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle),Cappuccino (regular),Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle),Markets,"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),"Rice (white), (1kg)",Eggs (regular) (12),Local Cheese (1kg),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apples (1kg),Banana (1kg),Oranges (1kg),Tomato (1kg),Potato (1kg),Onion (1kg),Lettuce (1 head),Water (1.5 liter bottle),Bottle of Wine (Mid Range),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Cigarettes 20 Pack (Marlboro),Transportation,One way Ticket (Local Transport),Monthly Pass (Regular Price),Taxi Start (Normal Tariff),Taxi 1km (Normal Tariff),Taxi 1hour Waiting (Normal Tariff),Gasoline (1 liter),Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),Utilities (Monthly),"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",Sports And Leisure,"Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",Childcare,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","International Primary School, Yearly for 1 Child",Clothing And Shoes,1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid Range),1 Pair of Men Leather Business Shoes,Rent Per Month,Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,Salaries And Financing,Average Monthly Net Salary (After Tax),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed Rate"
Montevideo,8.32 €,29.12 €,6.63 €,2.46 €,2.84 €,2.20 €,1.21 €,0.97 €,Edit,0.67 €,1.69 €,0.90 €,2.06 €,7.07 €,6.09 €,6.91 €,1.57 €,1.67 €,0.92 €,1.52 €,1.12 €,1.19 €,0.72 €,0.94 €,4.74 €,1.35 €,1.62 €,3.13 €,Edit,0.76 €,32.22 €,0.90 €,0.69 €,7.49 €,1.06 €,"25,784.49 €","26,551.71 €",Edit,102.56 €,0.19 €,26.41 €,Edit,33.54 €,15.51 €,6.44 €,Edit,212.56 €,"4,615.14 €",Edit,61.80 €,31.55 €,70.98 €,71.08 €,Edit,369.75 €,288.29 €,642.57 €,539.98 €,Edit,"1,976.19 €","1,765.49 €",Edit,537.91 €,7.56
Visakhapatnam,1.24 €,6.18 €,2.81 €,1.12 €,2.02 €,1.21 €,0.39 €,0.16 €,Edit,0.58 €,0.47 €,0.55 €,0.71 €,4.83 €,2.57 €,2.29 €,2.27 €,0.61 €,1.22 €,0.48 €,0.43 €,0.41 €,0.22 €,0.33 €,5.61 €,1.41 €,1.11 €,3.37 €,Edit,0.22 €,8.98 €,0.56 €,0.11 €,1.12 €,0.90 €,"8,982.46 €","19,167.93 €",Edit,13.91 €,0.01 €,8.14 €,Edit,13.66 €,3.29 €,2.25 €,Edit,27.13 €,"1,456.44 €",Edit,21.89 €,15.53 €,28.54 €,25.64 €,Edit,100.62 €,57.78 €,224.56 €,139.30 €,Edit,602.28 €,307.94 €,Edit,342.46 €,11.33
Agra,2.23 €,7.02 €,3.37 €,1.96 €,2.75 €,1.76 €,0.35 €,0.15 €,Edit,0.59 €,0.39 €,0.60 €,0.73 €,3.10 €,2.45 €,3.06 €,1.10 €,0.49 €,0.80 €,0.42 €,0.35 €,0.51 €,0.50 €,0.31 €,7.58 €,1.54 €,1.75 €,3.14 €,Edit,0.22 €,8.14 €,0.79 €,0.11 €,1.12 €,0.85 €,"8,982.46 €","15,339.80 €",Edit,29.57 €,0.01 €,10.41 €,Edit,12.07 €,8.42 €,2.53 €,Edit,35.56 €,"1,235.09 €",Edit,20.30 €,28.29 €,32.11 €,16.20 €,Edit,80.84 €,47.16 €,143.16 €,95.44 €,Edit,795.97 €,325.28 €,Edit,223.44 €,11.75
Tijuana,5.14 €,24.66 €,4.07 €,1.54 €,1.95 €,2.21 €,0.71 €,0.51 €,Edit,0.89 €,1.26 €,0.98 €,1.27 €,3.90 €,3.44 €,6.25 €,1.59 €,0.86 €,0.92 €,1.20 €,0.72 €,0.78 €,0.73 €,0.69 €,5.03 €,1.06 €,1.70 €,2.38 €,Edit,0.62 €,24.66 €,1.27 €,0.89 €,8.22 €,0.78 €,"11,507.57 €","13,767.98 €",Edit,50.25 €,0.08 €,20.52 €,Edit,22.86 €,19.78 €,2.84 €,Edit,97.27 €,"1,479.54 €",Edit,38.33 €,23.52 €,53.94 €,55.94 €,Edit,336.39 €,213.40 €,703.68 €,552.39 €,Edit,882.44 €,474.48 €,Edit,528.41 €,12.36
Bursa,2.51 €,10.04 €,2.51 €,1.41 €,1.74 €,1.26 €,0.40 €,0.16 €,Edit,0.60 €,0.22 €,1.41 €,1.18 €,4.75 €,1.83 €,7.27 €,0.62 €,1.57 €,0.94 €,0.56 €,0.40 €,0.56 €,0.45 €,0.24 €,5.52 €,1.28 €,1.62 €,1.81 €,Edit,0.35 €,18.07 €,0.47 €,0.37 €,6.02 €,0.69 €,"19,752.14 €","19,052.30 €",Edit,48.67 €,0.08 €,19.08 €,Edit,14.55 €,9.69 €,2.01 €,Edit,184.51 €,"3,981.55 €",Edit,26.67 €,18.74 €,43.96 €,33.82 €,Edit,131.70 €,95.04 €,237.67 €,163.83 €,Edit,456.72 €,338.91 €,Edit,295.10 €,16.75
Leon,4.11 €,20.55 €,4.11 €,1.44 €,2.05 €,1.82 €,0.76 €,0.54 €,Edit,0.69 €,1.13 €,0.81 €,1.19 €,3.52 €,3.92 €,5.64 €,1.32 €,0.64 €,0.60 €,0.92 €,0.80 €,0.87 €,0.61 €,0.60 €,6.16 €,0.95 €,1.55 €,2.14 €,Edit,0.49 €,11.10 €,1.75 €,0.21 €,5.01 €,0.86 €,"15,617.42 €","13,008.49 €",Edit,20.41 €,0.04 €,25.00 €,Edit,18.36 €,5.14 €,2.88 €,Edit,119.19 €,"2,520.71 €",Edit,31.23 €,27.81 €,52.74 €,55.48 €,Edit,171.24 €,145.21 €,325.85 €,262.44 €,Edit,363.72 €,246.59 €,Edit,378.69 €,11.15
Auckland,11.92 €,71.51 €,7.75 €,6.56 €,5.96 €,2.97 €,1.99 €,1.79 €,Edit,1.63 €,1.85 €,1.77 €,3.62 €,6.68 €,8.32 €,13.16 €,2.37 €,1.77 €,2.43 €,2.39 €,1.77 €,1.56 €,1.80 €,1.04 €,8.94 €,2.82 €,2.83 €,20.86 €,Edit,2.25 €,128.12 €,2.09 €,1.55 €,35.76 €,1.24 €,"21,745.01 €","18,783.30 €",Edit,120.41 €,0.20 €,45.99 €,Edit,47.47 €,12.03 €,11.92 €,Edit,716.98 €,"10,949.97 €",Edit,68.91 €,38.67 €,89.26 €,120.65 €,Edit,"1,123.20 €",998.16 €,"2,034.63 €","1,631.98 €",Edit,"7,194.82 €","5,586.51 €",Edit,"2,793.31 €",3.54
Valencia,10.00 €,40.00 €,7.00 €,2.40 €,3.00 €,1.78 €,1.66 €,1.20 €,Edit,0.71 €,0.85 €,0.93 €,1.96 €,8.16 €,5.69 €,10.27 €,1.85 €,1.50 €,1.36 €,1.76 €,1.08 €,1.46 €,0.91 €,0.46 €,4.00 €,0.98 €,1.16 €,5.10 €,Edit,1.50 €,41.00 €,4.00 €,1.00 €,19.75 €,1.30 €,"16,000.00 €","19,457.14 €",Edit,123.17 €,0.15 €,37.41 €,Edit,30.74 €,11.14 €,8.00 €,Edit,483.89 €,"7,342.86 €",Edit,65.00 €,33.79 €,66.32 €,91.67 €,Edit,726.36 €,510.87 €,"1,120.00 €",740.46 €,Edit,"2,659.50 €","1,338.92 €",Edit,"1,438.58 €",2.19
Thane,3.37 €,11.23 €,3.37 €,2.25 €,4.49 €,1.52 €,0.41 €,0.15 €,Edit,0.60 €,0.35 €,0.62 €,0.71 €,3.50 €,3.38 €,6.21 €,2.07 €,0.51 €,1.08 €,0.50 €,0.38 €,0.42 €,0.55 €,0.26 €,6.18 €,1.65 €,3.14 €,3.37 €,Edit,0.22 €,3.93 €,0.25 €,0.25 €,1.12 €,0.91 €,"10,105.27 €","17,724.32 €",Edit,39.56 €,0.01 €,8.39 €,Edit,19.85 €,7.06 €,2.81 €,Edit,64.92 €,"1,646.78 €",Edit,26.42 €,30.41 €,42.11 €,28.74 €,Edit,227.86 €,149.42 €,430.41 €,273.08 €,Edit,"2,004.10 €","1,390.03 €",Edit,538.01 €,8.48
San Antonio,12.48 €,49.92 €,6.66 €,3.33 €,4.99 €,3.35 €,1.76 €,1.39 €,Edit,0.65 €,2.02 €,2.42 €,1.68 €,9.06 €,6.54 €,9.61 €,2.81 €,1.29 €,2.33 €,2.13 €,1.53 €,1.61 €,1.02 €,1.11 €,11.23 €,2.00 €,1.94 €,5.82 €,Edit,1.25 €,31.61 €,2.12 €,1.29 €,19.97 €,0.44 €,"20,798.75 €","17,438.23 €",Edit,137.34 €,0.18 €,57.30 €,Edit,25.67 €,11.78 €,9.57 €,Edit,678.63 €,"8,652.28 €",Edit,35.34 €,29.46 €,57.21 €,75.52 €,Edit,"1,095.38 €",762.80 €,"1,699.83 €","1,289.52 €",Edit,"1,735.41 €",987.82 €,Edit,"2,712.60 €",4.18
Almaty,4.64 €,19.35 €,3.87 €,0.82 €,1.55 €,1.47 €,0.38 €,0.27 €,Edit,0.73 €,0.28 €,0.80 €,1.06 €,5.91 €,2.69 €,5.40 €,1.06 €,1.10 €,1.48 €,1.13 €,0.36 €,0.29 €,1.01 €,0.38 €,4.84 €,0.49 €,1.21 €,1.01 €,Edit,0.19 €,13.54 €,0.97 €,0.31 €,2.90 €,0.33 €,"12,044.32 €","17,075.97 €",Edit,47.04 €,0.02 €,9.37 €,Edit,34.53 €,9.67 €,3.29 €,Edit,159.63 €,"4,297.89 €",Edit,51.80 €,31.57 €,67.56 €,71.24 €,Edit,285.25 €,187.15 €,545.64 €,341.58 €,Edit,"1,020.90 €",628.59 €,Edit,359.23 €,13.78
Phnom Penh,2.50 €,17.47 €,4.99 €,0.62 €,1.25 €,2.00 €,0.50 €,0.26 €,Edit,1.83 €,1.28 €,0.87 €,1.42 €,11.69 €,4.12 €,9.04 €,3.34 €,1.18 €,2.38 €,1.25 €,1.43 €,1.00 €,0.98 €,0.55 €,8.32 €,0.74 €,1.56 €,1.25 €,Edit,1.25 €,24.65 €,0.83 €,0.83 €,4.16 €,0.77 €,"39,933.60 €","29,783.81 €",Edit,73.08 €,0.05 €,17.00 €,Edit,40.98 €,9.29 €,4.16 €,Edit,179.70 €,"7,249.85 €",Edit,20.80 €,14.79 €,45.97 €,41.92 €,Edit,363.68 €,227.05 €,978.53 €,586.74 €,Edit,"1,868.35 €","1,135.09 €",Edit,239.99 €,9.94
Goiania,2.52 €,11.47 €,3.82 €,0.92 €,1.84 €,0.82 €,0.71 €,0.32 €,Edit,0.60 €,1.01 €,0.85 €,0.88 €,3.38 €,2.07 €,4.23 €,0.99 €,0.63 €,0.60 €,0.78 €,0.62 €,0.63 €,0.34 €,0.48 €,4.97 €,0.90 €,2.12 €,1.53 €,Edit,0.66 €,28.94 €,0.70 €,0.62 €,10.71 €,0.72 €,"13,768.09 €","16,108.67 €",Edit,67.25 €,0.12 €,17.32 €,Edit,14.15 €,9.37 €,4.59 €,Edit,133.31 €,"2,902.77 €",Edit,29.34 €,24.63 €,49.65 €,34.08 €,Edit,146.03 €,112.82 €,270.26 €,184.21 €,Edit,648.27 €,524.28 €,Edit,216.46 €,8.83
Varanasi,1.85 €,7.86 €,3.37 €,1.12 €,4.49 €,1.52 €,0.31 €,0.13 €,Edit,0.55 €,0.31 €,0.51 €,0.80 €,3.80 €,2.43 €,4.53 €,1.26 €,0.57 €,0.59 €,0.38 €,0.28 €,0.42 €,0.56 €,0.30 €,6.18 €,1.18 €,2.25 €,4.04 €,Edit,0.25 €,8.42 €,0.56 €,0.16 €,1.12 €,0.85 €,"9,263.16 €","17,069.48 €",Edit,42.61 €,0.01 €,7.24 €,Edit,18.39 €,3.93 €,3.37 €,Edit,30.88 €,"1,684.21 €",Edit,24.22 €,26.20 €,32.28 €,30.48 €,Edit,86.88 €,71.38 €,189.47 €,137.94 €,Edit,636.26 €,362.70 €,Edit,329.62 €,8.00
Cordoba,3.61 €,20.00 €,4.90 €,1.23 €,?,?,0.56 €,0.56 €,Edit,0.50 €,0.33 €,0.62 €,0.98 €,6.61 €,?,?,?,?,?,?,?,?,?,0.81 €,4.04 €,1.51 €,2.52 €,2.05 €,Edit,0.47 €,?,1.01 €,?,?,0.76 €,"22,148.35 €","18,819.86 €",Edit,50.49 €,?,20.20 €,Edit,?,?,?,Edit,140.61 €,"2,019.78 €",Edit,55.00 €,?,?,65.00 €,Edit,180.37 €,?,504.94 €,807.91 €,Edit,896.61 €,717.29 €,Edit,699.83 €,47.50
Kampala,1.86 €,23.27 €,6.98 €,0.87 €,1.40 €,2.21 €,0.38 €,0.28 €,Edit,0.51 €,0.79 €,1.00 €,1.13 €,2.88 €,3.86 €,3.19 €,3.49 €,1.16 €,1.39 €,1.11 €,0.90 €,0.87 €,0.91 €,0.47 €,6.98 €,0.84 €,1.29 €,1.86 €,Edit,0.70 €,27.82 €,1.05 €,0.47 €,2.33 €,0.92 €,"9,306.20 €","7,832.72 €",Edit,43.87 €,0.07 €,54.98 €,Edit,45.72 €,7.71 €,4.65 €,Edit,158.63 €,"7,041.24 €",Edit,12.31 €,22.75 €,41.36 €,39.94 €,Edit,197.76 €,116.33 €,619.71 €,263.68 €,Edit,"46,717.11 €","3,024.51 €",Edit,139.59 €,22.07
Shiraz,2.50 €,18.30 €,2.50 €,0.83 €,0.60 €,1.56 €,0.59 €,0.36 €,Edit,1.26 €,0.38 €,3.47 €,1.53 €,4.42 €,5.26 €,14.31 €,1.21 €,2.07 €,0.97 €,0.65 €,0.63 €,0.66 €,0.86 €,0.43 €,1.98 €,0.39 €,0.83 €,1.66 €,Edit,0.20 €,12.89 €,0.20 €,0.20 €,1.25 €,0.51 €,"28,286.30 €","33,278.00 €",Edit,23.09 €,0.04 €,13.89 €,Edit,19.74 €,20.94 €,2.96 €,Edit,120.81 €,872.86 €,Edit,50.05 €,53.69 €,132.59 €,95.67 €,Edit,190.04 €,163.69 €,655.60 €,392.06 €,Edit,"1,164.73 €","1,058.66 €",Edit,227.36 €,20.33
Multan,0.81 €,5.41 €,3.92 €,1.62 €,4.22 €,0.87 €,0.22 €,0.15 €,Edit,0.50 €,0.39 €,0.79 €,0.68 €,6.08 €,1.94 €,3.06 €,0.88 €,0.50 €,0.30 €,0.50 €,0.27 €,0.27 €,0.35 €,0.29 €,4.87 €,1.76 €,2.43 €,0.87 €,Edit,0.14 €,5.41 €,0.54 €,0.16 €,1.41 €,0.61 €,"10,816.84 €","17,171.73 €",Edit,75.43 €,0.01 €,18.19 €,Edit,11.42 €,6.08 €,2.70 €,Edit,26.65 €,713.91 €,Edit,13.70 €,23.80 €,37.12 €,31.71 €,Edit,82.67 €,47.90 €,177.80 €,89.91 €,Edit,313.76 €,304.35 €,Edit,158.87 €,19.33
Madurai,1.12 €,5.05 €,3.14 €,1.68 €,3.37 €,0.72 €,0.36 €,0.17 €,Edit,0.50 €,0.48 €,0.56 €,0.67 €,5.95 €,2.68 €,4.81 €,1.81 €,0.67 €,0.83 €,0.37 €,0.43 €,0.35 €,0.39 €,0.34 €,4.77 €,1.38 €,1.95 €,3.37 €,Edit,0.28 €,11.23 €,0.90 €,0.16 €,1.01 €,0.91 €,"9,824.57 €","20,616.99 €",Edit,25.26 €,0.01 €,8.23 €,Edit,10.67 €,8.14 €,2.19 €,Edit,42.11 €,"1,037.47 €",Edit,20.68 €,17.12 €,36.12 €,30.50 €,Edit,97.84 €,54.74 €,190.88 €,116.02 €,Edit,"1,012.19 €",571.05 €,Edit,248.62 €,8.59
Kalyan,2.25 €,6.74 €,3.37 €,1.40 €,2.41 €,1.45 €,0.42 €,0.13 €,Edit,0.63 €,0.38 €,0.61 €,0.80 €,8.70 €,2.36 €,2.81 €,1.95 €,0.56 €,0.76 €,0.46 €,0.35 €,0.62 €,0.54 €,0.34 €,7.30 €,1.71 €,2.53 €,2.92 €,Edit,0.22 €,6.74 €,0.29 €,0.27 €,1.12 €,0.99 €,"15,157.90 €","19,359.91 €",Edit,29.68 €,0.01 €,11.51 €,Edit,19.65 €,8.32 €,2.53 €,Edit,53.33 €,"4,463.16 €",Edit,23.11 €,24.93 €,53.71 €,35.37 €,Edit,159.06 €,102.92 €,289.12 €,230.18 €,Edit,958.42 €,325.93 €,Edit,288.19 €,10.02
Adana,2.51 €,10.04 €,2.51 €,2.01 €,2.01 €,1.41 €,0.50 €,0.23 €,Edit,0.62 €,0.24 €,1.15 €,1.38 €,4.11 €,1.92 €,6.61 €,0.50 €,1.38 €,0.67 €,0.52 €,0.35 €,0.45 €,0.45 €,0.23 €,4.77 €,1.33 €,1.55 €,2.01 €,Edit,0.30 €,20.08 €,0.50 €,0.76 €,2.76 €,0.70 €,"24,090.05 €","19,792.56 €",Edit,63.84 €,0.08 €,22.03 €,Edit,15.42 €,5.86 €,2.51 €,Edit,174.26 €,"2,938.82 €",Edit,19.70 €,16.28 €,39.37 €,30.56 €,Edit,119.20 €,75.28 €,213.30 €,141.96 €,Edit,351.31 €,240.90 €,Edit,296.56 €,14.85
Prague,5.80 €,30.93 €,5.80 €,1.60 €,1.93 €,2.22 €,1.38 €,1.12 €,Edit,0.79 €,1.02 €,1.46 €,1.78 €,8.58 €,5.74 €,9.45 €,1.52 €,1.30 €,1.66 €,2.13 €,0.86 €,0.82 €,1.05 €,0.55 €,4.64 €,0.68 €,1.45 €,4.25 €,Edit,0.93 €,21.27 €,1.55 €,1.10 €,13.92 €,1.14 €,"19,333.11 €","19,960.87 €",Edit,195.27 €,0.14 €,19.72 €,Edit,35.66 €,12.11 €,7.73 €,Edit,584.14 €,"10,045.56 €",Edit,70.85 €,35.58 €,78.47 €,91.93 €,Edit,703.00 €,545.27 €,"1,211.15 €",872.27 €,Edit,"5,232.02 €","3,593.66 €",Edit,"1,246.19 €",2.48
Meerut,3.09 €,9.54 €,4.21 €,1.35 €,2.25 €,1.16 €,0.35 €,0.18 €,Edit,0.59 €,0.34 €,0.76 €,0.67 €,3.69 €,2.10 €,2.84 €,1.20 €,0.72 €,0.66 €,0.64 €,0.21 €,0.36 €,?,0.32 €,10.11 €,1.27 €,1.95 €,3.82 €,Edit,0.17 €,10.59 €,0.56 €,0.22 €,1.35 €,0.84 €,"10,105.27 €","15,677.72 €",Edit,26.93 €,0.01 €,6.73 €,Edit,8.98 €,4.49 €,2.81 €,Edit,33.68 €,"1,104.09 €",Edit,22.91 €,27.70 €,34.81 €,17.68 €,Edit,44.91 €,34.81 €,106.67 €,67.37 €,Edit,687.46 €,701.75 €,Edit,240.00 €,9.92
Hyderabad,2.25 €,11.23 €,3.37 €,1.29 €,2.30 €,1.34 €,0.36 €,0.18 €,Edit,0.63 €,0.44 €,0.57 €,0.74 €,5.97 €,2.96 €,4.94 €,1.83 €,0.54 €,0.77 €,0.42 €,0.42 €,0.44 €,0.62 €,0.32 €,8.98 €,1.52 €,2.51 €,3.71 €,Edit,0.34 €,11.23 €,0.56 €,0.22 €,1.12 €,0.94 €,"11,228.08 €","19,330.79 €",Edit,31.38 €,0.01 €,8.07 €,Edit,18.97 €,6.04 €,2.25 €,Edit,50.20 €,"1,847.29 €",Edit,24.57 €,24.46 €,38.31 €,30.52 €,Edit,157.66 €,88.12 €,394.98 €,215.46 €,Edit,956.36 €,521.78 €,Edit,421.16 €,9.22
Ottawa,12.18 €,50.76 €,8.12 €,4.74 €,5.41 €,3.02 €,1.57 €,1.28 €,Edit,1.81 €,2.05 €,2.58 €,2.34 €,8.05 €,9.52 €,13.51 €,2.77 €,1.00 €,2.79 €,2.78 €,1.48 €,1.42 €,1.71 €,1.09 €,10.15 €,1.85 €,2.03 €,11.51 €,Edit,2.44 €,81.22 €,2.61 €,1.35 €,16.24 €,0.72 €,"17,597.52 €","16,295.57 €",Edit,101.07 €,0.18 €,49.16 €,Edit,38.99 €,21.49 €,9.48 €,Edit,846.03 €,"10,152.42 €",Edit,45.37 €,32.83 €,66.75 €,84.20 €,Edit,"1,074.80 €",840.52 €,"1,820.93 €","1,394.75 €",Edit,"3,476.03 €","2,481.00 €",Edit,"2,836.02 €",2.90
Barranquilla,2.23 €,15.60 €,4.01 €,0.84 €,1.11 €,1.00 €,0.56 €,0.49 €,Edit,0.65 €,0.66 €,0.72 €,0.92 €,2.66 €,2.81 €,4.33 €,1.72 €,0.84 €,1.09 €,0.95 €,0.46 €,0.98 €,0.79 €,0.53 €,6.68 €,0.74 €,1.00 €,1.45 €,Edit,0.51 €,24.84 €,1.34 €,1.56 €,4.01 €,0.54 €,"18,603.46 €","15,935.00 €",Edit,79.67 €,0.04 €,24.04 €,Edit,16.48 €,5.05 €,2.90 €,Edit,213.27 €,"3,571.32 €",Edit,42.83 €,22.28 €,56.08 €,44.32 €,Edit,164.33 €,174.08 €,323.09 €,328.04 €,Edit,634.53 €,804.95 €,Edit,269.98 €,12.57
Sofia,6.14 €,30.72 €,5.12 €,1.48 €,1.54 €,1.34 €,0.92 €,0.62 €,Edit,1.07 €,0.62 €,1.29 €,1.65 €,5.83 €,5.07 €,8.01 €,1.24 €,1.35 €,1.29 €,1.50 €,0.61 €,0.59 €,0.61 €,0.50 €,5.12 €,0.68 €,1.26 €,3.07 €,Edit,0.82 €,25.60 €,0.51 €,0.41 €,6.76 €,0.98 €,"20,478.97 €","20,122.46 €",Edit,103.63 €,0.16 €,10.52 €,Edit,23.81 €,14.22 €,6.14 €,Edit,365.81 €,"5,178.42 €",Edit,50.61 €,29.13 €,70.00 €,69.39 €,Edit,369.45 €,278.90 €,678.46 €,487.14 €,Edit,"1,678.61 €","1,088.11 €",Edit,751.59 €,3.42
Davao,2.59 €,14.14 €,2.59 €,1.03 €,1.72 €,2.40 €,0.45 €,0.32 €,Edit,1.42 €,0.98 €,0.89 €,1.36 €,9.35 €,3.93 €,4.96 €,3.15 €,1.14 €,2.76 €,1.36 €,1.72 €,1.77 €,1.16 €,0.83 €,7.33 €,0.74 €,1.77 €,1.57 €,Edit,0.16 €,3.68 €,0.69 €,0.23 €,2.07 €,0.84 €,"23,282.28 €","22,112.99 €",Edit,126.58 €,0.16 €,43.85 €,Edit,35.48 €,2.09 €,4.31 €,Edit,177.99 €,"1,379.69 €",Edit,44.55 €,15.52 €,73.30 €,55.19 €,Edit,271.63 €,186.83 €,529.23 €,282.84 €,Edit,"2,242.00 €","1,224.00 €",Edit,253.76 €,6.75
Samara,6.08 €,27.62 €,2.65 €,0.83 €,2.21 €,1.55 €,0.52 €,0.26 €,Edit,0.74 €,0.42 €,0.77 €,0.95 €,7.02 €,2.78 €,4.50 €,1.03 €,0.79 €,0.92 €,1.65 €,0.40 €,0.34 €,0.57 €,0.36 €,4.42 €,0.61 €,1.17 €,1.44 €,Edit,0.35 €,19.89 €,0.99 €,0.21 €,3.31 €,0.50 €,"15,469.63 €","16,071.84 €",Edit,78.01 €,0.02 €,5.52 €,Edit,21.33 €,10.64 €,3.31 €,Edit,128.73 €,"4,051.57 €",Edit,61.94 €,38.54 €,62.25 €,71.03 €,Edit,236.19 €,157.64 €,495.03 €,295.03 €,Edit,860.18 €,562.26 €,Edit,317.48 €,10.39
Omsk,4.42 €,17.68 €,2.49 €,0.96 €,2.21 €,1.23 €,0.45 €,0.27 €,Edit,0.60 €,0.37 €,0.71 €,0.85 €,5.77 €,3.06 €,5.64 €,1.22 €,0.78 €,0.99 €,1.53 €,0.39 €,0.36 €,0.52 €,0.37 €,4.97 €,0.62 €,1.13 €,1.66 €,Edit,0.33 €,19.89 €,0.77 €,0.11 €,3.31 €,0.49 €,"15,082.34 €","14,515.67 €",Edit,83.23 €,0.02 €,5.92 €,Edit,11.60 €,7.55 €,2.27 €,Edit,127.07 €,"1,988.95 €",Edit,60.77 €,33.15 €,50.12 €,63.35 €,Edit,182.32 €,121.55 €,381.22 €,217.31 €,Edit,662.98 €,404.70 €,Edit,297.00 €,10.05
Gujranwala,0.38 €,8.11 €,2.57 €,?,?,0.95 €,0.26 €,0.24 €,Edit,0.56 €,0.44 €,0.94 €,0.72 €,8.38 €,2.43 €,2.70 €,1.53 €,0.54 €,1.01 €,0.42 €,0.24 €,0.27 €,0.54 €,0.29 €,1.35 €,1.38 €,?,0.73 €,Edit,0.16 €,4.06 €,0.54 €,0.16 €,0.54 €,0.62 €,"12,439.36 €","13,791.47 €",Edit,33.10 €,0.01 €,20.73 €,Edit,9.92 €,5.41 €,2.70 €,Edit,22.99 €,519.21 €,Edit,7.44 €,14.42 €,27.04 €,18.03 €,Edit,117.18 €,48.68 €,198.31 €,127.42 €,Edit,174.65 €,?,Edit,216.34 €,11.00
Adelaide,10.91 €,51.36 €,7.70 €,5.14 €,5.78 €,2.78 €,2.18 €,1.77 €,Edit,0.95 €,1.85 €,1.67 €,3.03 €,6.85 €,6.64 €,11.52 €,2.77 €,2.18 €,2.18 €,2.84 €,1.91 €,1.53 €,1.93 €,1.34 €,11.56 €,3.56 €,3.84 €,26.32 €,Edit,2.57 €,64.84 €,2.89 €,1.28 €,25.23 €,0.91 €,"17,848.04 €","16,371.71 €",Edit,157.61 €,0.32 €,44.73 €,Edit,38.69 €,5.00 €,9.63 €,Edit,747.65 €,"14,419.86 €",Edit,62.28 €,43.72 €,80.62 €,85.66 €,Edit,913.93 €,676.04 €,"1,614.99 €","1,100.64 €",Edit,"2,989.23 €","1,869.68 €",Edit,"2,892.72 €",3.43
Rosario,6.24 €,24.79 €,5.82 €,0.79 €,1.23 €,1.16 €,0.97 €,0.64 €,Edit,0.65 €,0.80 €,0.73 €,1.05 €,4.83 €,2.29 €,4.74 €,1.65 €,1.17 €,1.05 €,0.98 €,0.60 €,0.58 €,0.42 €,0.70 €,2.41 €,0.81 €,1.35 €,1.66 €,Edit,0.42 €,?,0.64 €,0.46 €,3.79 €,0.77 €,"21,630.70 €","19,134.85 €",Edit,28.22 €,0.11 €,22.09 €,Edit,20.97 €,12.53 €,4.16 €,Edit,83.19 €,"2,995.02 €",Edit,37.71 €,20.80 €,80.18 €,66.56 €,Edit,108.44 €,76.59 €,248.89 €,121.74 €,Edit,"1,310.32 €",859.68 €,Edit,426.37 €,33.75
Jabalpur,1.52 €,5.05 €,2.81 €,2.36 €,3.37 €,1.24 €,0.36 €,0.11 €,Edit,0.62 €,0.52 €,0.60 €,0.76 €,3.74 €,2.81 €,3.65 €,1.22 €,0.53 €,0.70 €,0.39 €,0.28 €,0.32 €,0.32 €,0.35 €,6.74 €,2.17 €,1.46 €,3.37 €,Edit,0.22 €,5.61 €,0.67 €,0.12 €,1.12 €,0.95 €,"15,157.90 €","20,718.61 €",Edit,52.40 €,0.01 €,7.86 €,Edit,18.65 €,4.87 €,2.53 €,Edit,35.79 €,"1,684.21 €",Edit,26.67 €,33.68 €,33.12 €,27.40 €,Edit,85.33 €,49.40 €,195.37 €,103.86 €,Edit,"1,856.73 €","1,349.42 €",Edit,477.19 €,7.75
